record_date,daily_spend
2026-01-02,61.30
2026-01-03,23.90
2026-01-04,231.60
2026-01-05,101.30
2026-01-06,31.20
2026-01-07,102.20
2026-01-08,477.20
2026-01-09,134.50
2026-01-10,123.10
2026-01-11,42.50
2026-01-12,37.20
2026-01-13,112.60
2026-01-14,1242.80
2026-01-15,81.40
2026-01-16,44.60
2026-01-17,79.10
2026-01-18,73.60
2026-01-19,51.90
2026-01-20,276.50
2026-01-21,119.40
2026-01-22,161.40
2026-01-23,53.40
2026-01-24,54.90
2026-01-25,226.60
2026-01-26,98.30
2026-01-27,42.20
2026-01-28,164.50
2026-01-29,45.30
2026-01-30,73.20
2026-01-31,114.80
